Feature Designation Code,Feature Designation Name,Feature Designation Text,Feature Class
#ADM1,first-order administrative division,"a primary administrative division of a country, such as a state in the United States",A
ADM1,primary division,"a primary administrative division of a country, such as a state in the United States",A
ADM1H,historical first-order administrative division,a former first-order administrative division,A
#ADM2,second-order administrative division,a subdivision of a first-order administrative division,A
ADM2,secondary division,a subdivision of a first-order administrative division,A
ADM2H,historical second-order administrative division,a former second-order administrative division,A
ADM3,third-order administrative division,a subdivision of a second-order administrative division,A
ADM3H,historical third-order administrative division,a former third-order administrative division,A
ADM4,fourth-order administrative division,a subdivision of a third-order administrative division,A
ADM4H,historical fourth-order administrative division,a former fourth-order administrative division,A
ADMD,administrative division,"an administrative division of a political entity, undifferentiated as to administrative level",A
ADMDH,historical administrative division,"a former administrative division of a political entity, undifferentiated as to administrative level",A
ADMF,administrative facility,a government building,S
ADMS,school district,,A
AGRC,agricultural colony,a tract of land set aside for agricultural settlement,L
AGRF,agricultural facility,a building and/or tract of land used for improving agriculture,S
AIRB,airbase,"an area used to store supplies, provide barracks for air force personnel, hangars and runways for aircraft, and from which operations are initiated",S
AIRF,airfield,a place on land where aircraft land and take off; no facilities provided for the commercial handling of passengers and cargo,S
AIRG,hangar,a covered and usually enclosed area for housing and repairing aircraft,S
AIRH,heliport,a place where helicopters land and take off,S
AIRP,airport,"a place where aircraft regularly land and take off, with runways, navigational aids, and major facilities for the commercial handling of passengers and cargo",S
AIRQ,abandoned airfield,,S
AIRS,seaplane landing area,a place on a waterbody where floatplanes land and take off,H
AIRT,terminal,airport facilities for the handling of freight and passengers,S
AMTH,amphitheater,an oval or circular structure with rising tiers of seats about a stage or open space,S
AMUS,amusement park,"Amusement Park are theme parks, adventure parks offering entertainment, similar to funfairs but with a fix location",L
ANCH,anchorage,an area where vessels may anchor,H
ANS,ancient site,"a place where archeological remains, old structures, or cultural artifacts are located",S
APNU,undersea apron,"a gentle slope, with a generally smooth surface, particularly found around groups of islands and seamounts",U
AQC,aquaculture facility,"facility or area for the cultivation of aquatic animals and plants, especially fish, shellfish, and seaweed, in natural or controlled marine or freshwater environments; underwater agriculture",S
ARCH,arch,a natural or man-made structure in the form of an arch,S
ARCU,undersea arch,a low bulge around the southeastern end of the island of Hawaii,U
AREA,area,a tract of land without homogeneous character or boundaries,L
ARRU,undersea arrugado,an area of subdued corrugations off Baja California,U
ASPH,asphalt lake,a small basin containing naturally occurring asphalt,T
ASTR,astronomical station,a point on the earth whose position has been determined by observations of celestial bodies,S
ASYL,asylum,a facility where the insane are cared for and protected,S
ATHF,athletic field,"a tract of land used for playing team sports, and athletic track and field events",S
ATM,automatic teller machine,"An unattended electronic machine in a public place, connected to a data system and related equipment and activated by a bank customer to obtain cash withdrawals and other banking services. ",S
ATOL,atoll(s),a ring-shaped coral reef which has closely spaced islands on it encircling a lagoon,T
BAN,bank,"an establishment for the custody, loan, exchange or issue of money, for the extension of credit, and for facilitating the transmission of funds",S
BANK,bank,"A business establishment in which money is kept for saving or commercial purposes or is invested, supplied for loans, or exchanged. ",S
BAR,bar,"a shallow ridge or mound of coarse unconsolidated material in a stream channel, at the mouth of a stream, estuary, or lagoon and in the wave-break zone along coasts",T
BAY,bay,"a coastal indentation between two capes or headlands, larger than a cove but smaller than a gulf",H
BAYS,bays,"coastal indentations between two capes or headlands, larger than a cove but smaller than a gulf",H
BCH,beach,a shore zone of coarse unconsolidated sediment that extends from the low-water line to the highest reach of storm waves,T
BCHS,beaches,a shore zone of coarse unconsolidated sediment that extends from the low-water line to the highest reach of storm waves,T
BCN,beacon,a fixed artificial navigation mark,S
BDG,bridge,"a structure erected across an obstacle such as a stream, road, etc., in order to carry roads, railroads, and pedestrians across",S
BDGQ,ruined bridge,a destroyed or decayed bridge which is no longer functional,S
BDLD,badlands,"an area characterized by a maze of very closely spaced, deep, narrow, steep-sided ravines, and sharp crests and pinnacles",T
BDLU,undersea borderland,"a region adjacent to a continent, normally occupied by or bordering a shelf, that is highly irregular with depths well in excess of those typical of a shelf",U
BGHT,bight(s),an open body of water forming a slight recession in a coastline,H
BKSU,undersea banks,"elevations, typically located on a shelf, over which the depth of water is relatively shallow but sufficient for safe surface navigation",U
BLDA,apartment building,a building containing several individual apartments,S
BLDG,building(s),"a structure built for permanent use, as a house, factory, etc.",S
BLDO,office building,commercial building where business and/or services are conducted,S
BLDR,boulder field,"a high altitude or high latitude bare, flat area covered with large angular rocks",T
BLHL,blowhole(s),a hole in coastal rock through which sea water is forced by a rising tide or waves and spurted through an outlet into the air,T
BLOW,blowout(s),"a small depression in sandy terrain, caused by wind erosion",T
BNCH,bench,"a long, narrow bedrock platform bounded by steeper slopes above and below, usually overlooking a waterbody",T
BNCU,undersea bench,a small terrace,U
BNK,bank(s),"an elevation, typically located on a shelf, over which the depth of water is relatively shallow but sufficient for most surface navigation",H
BNKR,stream bank,a sloping margin of a stream channel which normally confines the stream to its channel on land,H
BNKU,undersea bank,"an elevation, typically located on a shelf, over which the depth of water is relatively shallow but sufficient for safe surface navigation",U
BNKX,section of bank,,H
BOG,bog(s),"a wetland characterized by peat forming sphagnum moss, sedge, and other acid-water plants",H
BP,boundary marker,a fixture marking a point along a boundary,S
BRKS,barracks,a building for lodging military personnel,S
BRKW,breakwater,a structure erected to break the force of waves at the entrance to a harbor or port,S
BSND,drainage basin,an area drained by a stream,L
BSNP,petroleum basin,an area underlain by an oil-rich structural basin,L
BSNU,undersea basin,a depression more or less equidimensional in plan and of variable extent,U
BSTN,baling station,a facility for baling agricultural products,S
BTL,battlefield,a site of a land battle of historical importance,L
BTYD,boatyard,"a waterside facility for servicing, repairing, and building small vessels",S
BUR,burial cave(s),a cave used for human burials,S
BUSH,bush(es),a small clump of conspicuous bushes in an otherwise bare area,V
BUSTN,bus station,"a facility comprising ticket office, platforms, etc. for loading and unloading passengers ",S
BUSTP,bus stop,a place lacking station facilities,S
BUTE,butte(s),"a small, isolated, usually flat-topped hill with steep sides",T
CAPE,cape,"a land area, more prominent than a point, projecting into the sea and marking a notable change in coastal direction",T
CAPG,icecap,a dome-shaped mass of glacial ice covering an area of mountain summits or other high lands; smaller than an ice sheet,H
CARN,cairn,a heap of stones erected as a landmark or for other purposes,S
CAVE,cave(s),"an underground passageway or chamber, or cavity on the side of a cliff",S
CDAU,undersea cordillera,"an entire mountain system including the subordinate ranges, interior plateaus, and basins",U
CFT,cleft(s),"a deep narrow slot, notch, or groove in a coastal cliff",T
CH,church,a building for public Christian worship,S
CHN,channel,"the deepest part of a stream, bay, lagoon, or strait, through which the main current flows",H
CHNL,lake channel(s),"that part of a lake having water deep enough for navigation between islands, shoals, etc.",H
CHNM,marine channel,that part of a body of water deep enough for navigation through an area otherwise not suitable,H
CHNN,navigation channel,a buoyed channel of sufficient depth for the safe navigation of vessels,H
CLDA,caldera,a depression measuring kilometers across formed by the collapse of a volcanic mountain,T
CLF,cliff(s),"a high, steep to perpendicular slope overlooking a waterbody or lower area",T
CLG,clearing,an area in a forest with trees removed,L
CMN,common,a park or pasture for community use,L
CMP,camp(s),"a site occupied by tents, huts, or other shelters for temporary use",S
CMPL,logging camp,a camp used by loggers,S
CMPLA,labor camp,a camp used by migrant or temporary laborers,S
CMPMN,mining camp,a camp used by miners,S
CMPO,oil camp,a camp used by oilfield workers,S
CMPQ,abandoned camp,,S
CMPRF,refugee camp,a camp used by refugees,S
CMTY,cemetery,a burial place or ground,S
CNFL,confluence,a place where two or more streams or intermittent streams flow together,H
CNL,canal,an artificial watercourse,H
CNLA,aqueduct,a conduit used to carry water,H
CNLB,canal bend,a conspicuously curved or bent section of a canal,H
CNLD,drainage canal,an artificial waterway carrying water away from a wetland or from drainage ditches,H
CNLI,irrigation canal,a canal which serves as a main conduit for irrigation water,H
CNLN,navigation canal(s),a watercourse constructed for navigation of vessels,H
CNLQ,abandoned canal,,H
CNLSB,underground irrigation canal(s),a gently inclined underground tunnel bringing water for irrigation from aquifers,H
CNLX,section of canal,,H
CNS,concession area,"a lease of land by a government for economic development, e.g., mining, forestry",L
CNSU,undersea canyons,"relatively narrow, deep depressions with steep sides, the bottom of which generally has a continuous slope",U
CNYN,canyon,"a deep, narrow valley with steep sides cutting into a plateau or mountainous area",T
CNYU,undersea canyon,"a relatively narrow, deep depression with steep sides, the bottom of which generally has a continuous slope",U
COLF,coalfield,a region in which coal deposits of possible economic value occur,L
COMC,communication center,"a facility, including buildings, antennae, towers and electronic equipment for receiving and transmitting information",S
CONE,cone(s),a conical landform composed of mud or volcanic material,T
CONT,continent,"continent : Europe, Africa, Asia, North America, South America, Oceania,Antarctica",L
COVE,cove(s),"a small coastal indentation, smaller than a bay",H
CRDR,corridor,a strip or area of land having significance as an access way,T
CRKT,tidal creek(s),a meandering channel in a coastal wetland subject to bi-directional tidal currents,H
CRNT,current,a horizontal flow of water in a given direction with uniform velocity,H
CRQ,cirque,a bowl-like hollow partially surrounded by cliffs or steep slopes at the head of a glaciated valley,T
CRQS,cirques,bowl-like hollows partially surrounded by cliffs or steep slopes at the head of a glaciated valley,T
CRRL,corral(s),a pen or enclosure for confining or capturing animals,S
CRSU,continental rise,a gentle slope rising from oceanic depths towards the foot of a continental slope,U
CRTR,crater(s),a generally circular saucer or bowl-shaped depression caused by volcanic or meteorite explosive action,T
CSNO,casino,"a building used for entertainment, especially gambling",S
CST,coast,a zone of variable width straddling the shoreline,L
CSTL,castle,a large fortified building or set of buildings,S
CSTM,customs house,"a building in a port where customs and duties are paid, and where vessels are entered and cleared",S
CSWY,causeway,a raised roadway across wet ground or shallow water,R
CSWYQ,former causeway,a causeway no longer used for transportation,R
CTHSE,courthouse,a building in which courts of law are held,S
CTRA,atomic center,a facility where atomic research is carried out,S
CTRB,business center,a place where a number of businesses are located,L
CTRCM,community center,a facility for community recreation and other activities,S
CTRF,facility center,a place where more than one facility is situated,S
CTRM,medical center,"a complex of health care buildings including two or more of the following: hospital, medical school, clinic, pharmacy, doctor's offices, etc.",S
CTRR,religious center,"a facility where more than one religious activity is carried out, e.g., retreat, school, monastery, worship",S
CTRS,space center,"a facility for launching, tracking, or controlling satellites and space vehicles",S
CUET,cuesta(s),an asymmetric ridge formed on tilted strata,T
CULT,cultivated area,an area under cultivation,V
CUTF,cutoff,a channel formed as a result of a stream cutting through a meander neck,H
CVNT,convent,a building where a community of nuns lives in seclusion,S
DAM,dam,a barrier constructed across a stream to impound water,S
DAMQ,ruined dam,a destroyed or decayed dam which is no longer functional,S
DAMSB,sub-surface dam,a dam put down to bedrock in a sand river,S
DARY,dairy,"a facility for the processing, sale and distribution of milk or milk products",S
DCK,dock(s),"a waterway between two piers, or cut into the land for the berthing of ships",H
DCKB,docking basin,a part of a harbor where ships dock,H
DCKD,dry dock,"a dock providing support for a vessel, and means for removing the water so that the bottom of the vessel can be exposed",S
DCKY,dockyard,"a facility for servicing, building, or repairing ships",S
DEPU,deep,"a localized deep area within the confines of a larger feature, such as a trough, basin or trench",U
DEVH,housing development,a tract of land on which many houses of similar design are built according to a development plan,L
DIKE,dike,an earth or stone embankment usually constructed for flood or stream control,S
DIP,diplomatic facility,"office, residence, or facility of a foreign government, which may include an embassy, consulate, chancery, office of charge d’affaires, or other diplomatic, economic, military, or cultural mission",S
DLTA,delta,a flat plain formed by alluvial deposits at the mouth of a stream,T
DOMG,icecap dome,a comparatively elevated area on an icecap,H
DPOF,fuel depot,an area where fuel is stored,S
DPR,depression(s),a low area surrounded by higher land and usually characterized by interior drainage,T
DPRG,icecap depression,a comparatively depressed area on an icecap,H
DSRT,desert,a large area with little or no vegetation due to extreme environmental conditions,T
DTCH,ditch,a small artificial watercourse dug for draining or irrigating the land,H
DTCHD,drainage ditch,a ditch which serves to drain the land,H
DTCHI,irrigation ditch,a ditch which serves to distribute irrigation water,H
DTCHM,ditch mouth(s),"an area where a drainage ditch enters a lagoon, lake or bay",H
DUNE,dune(s),"a wave form, ridge or star shape feature composed of sand",T
DVD,divide,a line separating adjacent drainage basins,T
EDGU,undersea shelf edge,a line along which there is a marked increase of slope at the outer margin of a continental shelf or island shelf,U
ERG,sandy desert,an extensive tract of shifting sand and sand dunes,T
ESCU,undersea escarpment (or scarp),an elongated and comparatively steep slope separating flat or gently sloping areas,U
EST,estate(s),a large commercialized agricultural landholding with associated buildings and other facilities,S
ESTB,banana plantation,an estate that specializes in the growing of bananas,S
ESTC,cotton plantation,an estate specializing in the cultivation of cotton,S
ESTO,oil palm plantation,an estate specializing in the cultivation of oil palm trees,S
ESTR,rubber plantation,an estate which specializes in growing and tapping rubber trees,S
ESTSG,sugar plantation,an estate that specializes in growing sugar cane,S
ESTSL,sisal plantation,an estate that specializes in growing sisal,S
ESTT,tea plantation,an estate which specializes in growing tea bushes,S
ESTX,section of estate,,S
ESTY,estuary,a funnel-shaped stream mouth or embayment where fresh water mixes with sea water under tidal influences,H
FAN,fan(s),a fan-shaped wedge of coarse alluvium with apex merging with a mountain stream bed and the fan spreading out at a low angle slope onto an adjacent plain,T
FANU,undersea fan,a relatively smooth feature normally sloping away from the lower termination of a canyon or canyon system,U
FCL,facility,"a building or buildings housing a center, institute, foundation, hospital, prison, mission, courthouse, etc.",S
FIRE,fire station,building housing firefighters and/or fire fighting equipment,S
FISH,fishing area,"a fishing ground, bank or area where fishermen go to catch fish",H
FJD,fjord,"a long, narrow, steep-walled, deep-water arm of the sea at high latitudes, usually along mountainous coasts",H
FJDS,fjords,"long, narrow, steep-walled, deep-water arms of the sea at high latitudes, usually along mountainous coasts",H
FLD,field(s),an open as opposed to wooded area,L
FLDI,irrigated field(s),a tract of level or terraced land which is irrigated,L
FLLS,waterfall(s),a perpendicular or very steep descent of the water of a stream,H
FLLSX,section of waterfall(s),,H
FLTM,mud flat(s),"a relatively level area of mud either between high and low tide lines, or subject to flooding",H
FLTT,tidal flat(s),a large flat area of mud or sand attached to the shore and alternately covered and uncovered by the tide,H
FLTU,undersea flat,a small level or nearly level area,U
FNDY,foundry,a building or works where metal casting is carried out,S
FORD,ford,a shallow part of a stream which can be crossed on foot or by land vehicle,T
FRKU,undersea fork,a branch of a canyon or valley,U
FRM,farm,a tract of land with associated buildings devoted to agriculture,S
FRMQ,abandoned farm,,S
FRMS,farms,tracts of land with associated buildings devoted to agriculture,S
FRMT,farmstead,the buildings and adjacent service areas of a farm,S
FRST,forest(s),an area dominated by tree vegetation,V
FRSTF,fossilized forest,a forest fossilized by geologic processes and now exposed at the earth's surface,V
FRSU,undersea forks,a branch of a canyon or valley,U
FRZU,undersea fracture zone,"an extensive linear zone of irregular topography of the sea floor, characterized by steep-sided or asymmetrical ridges, troughs, or escarpments",U
FSR,fissure,a crack associated with volcanism,T
FT,fort,a defensive structure or earthworks,S
FURU,undersea furrow,"a closed, linear, narrow, shallow depression",U
FY,ferry,a boat or other floating conveyance and terminal facilities regularly used to transport people and vehicles across a waterbody,S
FYT,ferry terminal,"a place where ferries pick-up and discharge passengers, vehicles and or cargo",S
GAP,gap,"a low place in a ridge, not used for transportation",T
GAPU,undersea gap,a narrow break in a ridge or rise,U
GARG,parking garage,a building or underground facility used exclusively for parking vehicles,S
GASF,gasfield,an area containing a subterranean store of natural gas of economic value,L
GATE,gate,a controlled access entrance or exit,S
GDN,garden(s),an enclosure for displaying selected plant or animal life,S
GHAT,gh_t,"a set of steps leading to a river, which are of religious significance, and at their base is usually a platform for bathing",S
GHSE,guest house,a house used to provide lodging for paying guests,S
GLCR,glacier(s),"a mass of ice, usually at high latitudes or high elevations, with sufficient thickness to flow away from the source area in lobes, tongues, or masses",H
GLYU,undersea gully,a small valley-like feature,U
GOSP,gas-oil separator plant,a facility for separating gas from oil,S
GOVL,local government office,"a facility housing local governmental offices, usually a city, town, or village hall",S
GRAZ,grazing area,an area of grasses and shrubs used for grazing,L
GRGE,gorge(s),"a short, narrow, steep-sided section of a stream valley",T
GRSLD,grassland,an area dominated by grass vegetation,V
GRVC,coconut grove,a planting of coconut trees,V
GRVE,grave,a burial site,S
GRVO,olive grove,a planting of olive trees,V
GRVP,palm grove,a planting of palm trees,V
GRVPN,pine grove,a planting of pine trees,V
GULF,gulf,"a large recess in the coastline, larger than a bay",H
GVL,gravel area,an area covered with gravel,L
GYSR,geyser,a type of hot spring with intermittent eruptions of jets of hot water and steam,H
HBR,harbor(s),a haven or space of deep water so sheltered by the adjacent land as to afford a safe anchorage for ships,H
HBRX,section of harbor,,H
HDLD,headland,a high projection of land extending into a large body of water beyond the line of the coast,T
HERM,hermitage,"a secluded residence, usually for religious sects",S
HLL,hill,a rounded elevation of limited extent rising above the surrounding land with local relief of less than 300m,T
HLLS,hills,rounded elevations of limited extent rising above the surrounding land with local relief of less than 300m,T
HLLU,undersea hill,an elevation rising generally less than 500 meters,U
HLSU,undersea hills,elevations rising generally less than 500 meters,U
HLT,halting place,a place where caravans stop for rest,S
HMCK,hammock(s),"a patch of ground, distinct from and slightly above the surrounding plain or wetland. Often occurs in groups",T
HMDA,rock desert,"a relatively sand-free, high bedrock plateau in a hot desert, with or without a gravel veneer",T
HMSD,homestead,"a residence, owner's or manager's, on a sheep or cattle station, woolshed, outcamp, or Aboriginal outstation, specific to Australia and New Zealand",S
HOLU,undersea hole,a small depression of the sea floor,U
HSE,house(s),a building used as a human habitation,S
HSEC,country house,"a large house, mansion, or chateau, on a large estate",S
HSP,hospital,"a building in which sick or injured, especially those confined to bed, are medically treated",S
HSPC,clinic,a medical facility associated with a hospital for outpatients,S
HSPD,dispensary,a building where medical or dental aid is dispensed,S
HSPL,leprosarium,an asylum or hospital for lepers,S
HSTS,historical site,a place of historical importance,S
HTH,heath,an upland moor or sandy area dominated by low shrubby vegetation including heather,V
HTL,hotel,a building providing lodging and/or meals for the public,S
HUT,hut,a small primitive house,S
HUTS,huts,small primitive houses,S
INDS,industrial area,an area characterized by industrial activity,L
INLT,inlet,"a narrow waterway extending into the land, or connecting a bay or lagoon with a larger body of water",H
INLTQ,former inlet,"an inlet which has been filled in, or blocked by deposits",H
INSM,military installation,a facility for use of and control by armed forces,S
INTF,interfluve,a relatively undissected upland between adjacent stream valleys,T
ISL,island,"a tract of land, smaller than a continent, surrounded by water at high water",T
ISLET,islet,"small island, bigger than rock, smaller than island.",T
ISLF,artificial island,"an island created by landfill or diking and filling in a wetland, bay, or lagoon",T
ISLF,artificial island,"an island created by landfill or diking and filling in a wetland, bay, or lagoon",T
ISLM,mangrove island,a mangrove swamp surrounded by a waterbody,T
ISLS,islands,"tracts of land, smaller than a continent, surrounded by water at high water",T
ISLT,land-tied island,"a coastal island connected to the mainland by barrier beaches, levees or dikes",T
ISLX,section of island,,T
ISTH,isthmus,a narrow strip of land connecting two larger land masses and bordered by water,T
ITTR,research institute,a facility where research is carried out,S
JTY,jetty,a structure built out into the water at a river mouth or harbor entrance to regulate currents and silting,S
KNLU,undersea knoll,"an elevation rising generally more than 500 meters and less than 1,000 meters and of limited extent across the summit",U
KNSU,undersea knolls,"elevations rising generally more than 500 meters and less than 1,000 meters and of limited extent across the summits",U
KRST,karst area,"a distinctive landscape developed on soluble rock such as limestone characterized by sinkholes, caves, disappearing streams, and underground drainage",T
LAND,Arctic land,a tract of land in the Arctic,L
LAVA,lava area,an area of solidified lava,T
LBED,lake bed(s),a dried up or drained area of a former lake,H
LCTY,locality,a minor area or place of unspecified or mixed character and indefinite boundaries,L
LDGU,undersea ledge,"a rocky projection or outcrop, commonly linear and near shore",U
LDNG,landing,"a place where boats receive or discharge passengers and freight, but lacking most port facilities",S
LEPC,leper colony,a settled area inhabited by lepers in relative isolation,S
LEV,levee,a natural low embankment bordering a distributary or meandering stream; often built up artificially to control floods,T
LEVU,undersea levee,"an embankment bordering a canyon, valley, or seachannel",U
LGN,lagoon,"a shallow coastal waterbody, completely or partly separated from a larger body of water by a barrier island, coral reef or other depositional feature",H
LGNS,lagoons,"shallow coastal waterbodies, completely or partly separated from a larger body of water by a barrier island, coral reef or other depositional feature",H
LGNX,section of lagoon,,H
LIBR,library,"A place in which information resources such as books are kept for reading, reference, or lending.",S
LK,lake,a large inland body of standing water,H
LKC,crater lake,a lake in a crater or caldera,H
LKI,intermittent lake,,H
LKN,salt lake,an inland body of salt water with no outlet,H
LKNI,intermittent salt lake,,H
LKO,oxbow lake,a crescent-shaped lake commonly found adjacent to meandering streams,H
LKOI,intermittent oxbow lake,,H
LKS,lakes,large inland bodies of standing water,H
LKSB,underground lake,a standing body of water in a cave,H
LKSC,crater lakes,lakes in a crater or caldera,H
LKSI,intermittent lakes,,H
LKSN,salt lakes,inland bodies of salt water with no outlet,H
LKSNI,intermittent salt lakes,,H
LKX,section of lake,,H
LNDF,landfill,a place for trash and garbage disposal in which the waste is buried between layers of earth to build up low-lying land,S
LOCK,lock(s),a basin in a waterway with gates at each end by means of which vessels are passed from one water level to another,S
LTER,leased area,a tract of land leased by the United Kingdom from the People's Republic of China to form part of Hong Kong,A
LTHSE,lighthouse,a distinctive structure exhibiting a major navigation light,S
MALL,mall,"A large, often enclosed shopping complex containing various stores, businesses, and restaurants usually accessible by common passageways.",S
MAR,marina,"a harbor facility for small boats, yachts, etc.",S
MDVU,undersea median valley,the axial depression of the mid-oceanic ridge system,U
MDW,meadow,"a small, poorly drained area dominated by grassy vegetation",V
MESA,mesa(s),"a flat-topped, isolated elevation with steep slopes on all sides, less extensive than a plateau",T
MESU,undersea mesa,"an isolated, extensive, flat-topped elevation on the shelf, with relatively steep sides",U
MFG,factory,"one or more buildings where goods are manufactured, processed or fabricated",S
MFGB,brewery,one or more buildings where beer is brewed,S
MFGC,cannery,a building where food items are canned,S
MFGCU,copper works,a facility for processing copper ore,S
MFGLM,limekiln,a furnace in which limestone is reduced to lime,S
MFGM,munitions plant,a factory where ammunition is made,S
MFGN,salt evaporation ponds,diked salt ponds used in the production of solar evaporated salt,H
MFGPH,phosphate works,a facility for producing fertilizer,S
MFGQ,abandoned factory,,S
MFGSG,sugar refinery,a facility for converting raw sugar into refined sugar,S
MGV,mangrove swamp,a tropical tidal mud flat characterized by mangrove vegetation,H
MILB,military base,"a place used by an army or other armed service for storing arms and supplies, and for accommodating and training troops, a base from which operations can be initiated",L
MKT,market,a place where goods are bought and sold at regular intervals,S
ML,mill(s),"a building housing machines for transforming, shaping, finishing, grinding, or extracting products",S
MLM,ore treatment plant,a facility for improving the metal content of ore by concentration,S
MLO,olive oil mill,a mill where oil is extracted from olives,S
MLSG,sugar mill,a facility where sugar cane is processed into raw sugar,S
MLSGQ,former sugar mill,a sugar mill no longer used as a sugar mill,S
MLSW,sawmill,a mill where logs or lumber are sawn to specified shapes and sizes,S
MLWND,windmill,a mill or water pump powered by wind,S
MLWTR,water mill,a mill powered by running water,S
MN,mine(s),a site where mineral ores are extracted from the ground by excavating surface pits and subterranean passages,S
MNA,mining area,an area of mine sites where minerals and ores are extracted,L
MNAU,gold mine(s),"a mine where gold ore, or alluvial gold is extracted",S
MNC,coal mine(s),a mine where coal is extracted,S
MNCR,chrome mine(s),a mine where chrome ore is extracted,S
MNCU,copper mine(s),a mine where copper ore is extracted,S
MND,mound(s),"a low, isolated, rounded hill",T
MNDT,diatomite mine(s),a place where diatomaceous earth is extracted,S
MNDU,undersea mound,"a low, isolated, rounded hill",U
MNFE,iron mine(s),a mine where iron ore is extracted,S
MNMT,monument,a commemorative structure or statue,S
MNN,salt mine(s),a mine from which salt is extracted,S
MNNI,nickel mine(s),a mine where nickel ore is extracted,S
MNPB,lead mine(s),a mine where lead ore is extracted,S
