Feature Designation Code,Feature Designation Name,Feature Designation Text,Feature Class
MNPL,placer mine(s),a place where heavy metals are concentrated and running water is used to extract them from unconsolidated sediments,S
MNQ,abandoned mine,,S
MNQR,quarry(-ies),"a surface mine where building stone or gravel and sand, etc. are extracted",S
MNSN,tin mine(s),a mine where tin ore is extracted,S
MOLE,mole,a massive structure of masonry or large stones serving as a pier or breakwater,S
MOOR,moor(s),an area of open ground overlaid with wet peaty soils,H
MOTU,undersea moat,"an annular depression that may not be continuous, located at the base of many seamounts, islands, and other isolated elevations",U
MRN,moraine,"a mound, ridge, or other accumulation of glacial till",T
MRSH,marsh(es),a wetland dominated by grass-like vegetation,H
MRSHN,salt marsh,"a flat area, subject to periodic salt water inundation, dominated by grassy salt-tolerant plants",H
MSQE,mosque,a building for public Islamic worship,S
MSSN,mission,"a place characterized by dwellings, school, church, hospital and other facilities operated by a religious group for the purpose of providing charitable services and to propagate religion",S
MSSNQ,abandoned mission,,S
MSTY,monastery,a building and grounds where a community of monks lives in seclusion,S
MT,mountain,"an elevation standing high above the surrounding area with small summit area, steep slopes and local relief of 300m or more",T
MTRO,metro station,"metro station (Underground, Tube, or M?tro) ",S
MTS,mountains,a mountain range or a group of mountains or high ridges,T
MTSU,undersea mountains,well-delineated subdivisions of a large and complex positive feature,U
MTU,undersea mountain,a well-delineated subdivision of a large and complex positive feature,U
MUS,museum,a building where objects of permanent interest in one or more of the arts and sciences are preserved and exhibited,S
MVA,maneuver area,a tract of land where military field exercises are carried out,L
NKM,meander neck,a narrow strip of land between the two limbs of a meander loop at its narrowest point,T
NOV,novitiate,a religious house or school where novices are trained,S
NRWS,narrows,"a navigable narrow part of a bay, strait, river, etc.",H
NSY,nursery(-ies),a place where plants are propagated for transplanting or grafting,S
NTK,nunatak,a rock or mountain peak protruding through glacial ice,T
NTKS,nunataks,rocks or mountain peaks protruding through glacial ice,T
NULL,not available,,NULL
NVB,naval base,"an area used to store supplies, provide barracks for troops and naval personnel, a port for naval vessels, and from which operations are initiated",L
OAS,oasis(-es),an area in a desert made productive by the availability of water,L
OBPT,observation point,a wildlife or scenic observation point,S
OBS,observatory,a facility equipped for observation of atmospheric or space phenomena,S
OBSR,radio observatory,a facility equipped with an array of antennae for receiving radio waves from space,S
OCH,orchard(s),a planting of fruit or nut trees,V
OCN,ocean,one of the major divisions of the vast expanse of salt water covering part of the earth,H
OILF,oilfield,an area containing a subterranean store of petroleum of economic value,L
OILJ,oil pipeline junction,a section of an oil pipeline where two or more pipes join together,S
OILP,oil pipeline,a pipeline used for transporting oil,R
OILQ,abandoned oil well,,S
OILR,oil refinery,a facility for converting crude oil into refined petroleum products,S
OILT,tank farm,"a tract of land occupied by large, cylindrical, metal tanks in which oil or liquid petrochemicals are stored",S
OILW,oil well,a well from which oil may be pumped,S
OPRA,opera house,A theater designed chiefly for the performance of operas.,S
OVF,overfalls,an area of breaking waves caused by the meeting of currents or by waves moving against the current,H
PAL,palace,"a large stately house, often a royal or presidential residence",S
PAN,pan,"a near-level shallow, natural depression or basin, usually containing an intermittent lake, pond, or pool",T
PANS,pans,"a near-level shallow, natural depression or basin, usually containing an intermittent lake, pond, or pool",T
PASS,pass,"a break in a mountain range or other high obstruction, used for transportation from one side to the other [See also gap]",T
PCL,political entity,,A
PCLD,dependent political entity,,A
PCLF,freely associated state,,A
PCLH,historical political entity,a former political entity,A
PCLI,independent political entity,,A
PCLIX,section of independent political entity,,A
PCLS,semi-independent political entity,,A
PEAT,peat cutting area,an area where peat is harvested,L
PEN,peninsula,an elongate area of land projecting into a body of water and nearly surrounded by water,T
PENX,section of peninsula,,T
PGDA,pagoda,"a tower-like storied structure, usually a Buddhist shrine",S
PIER,pier,a structure built out into navigable water on piles providing berthing for ships and recreation,S
PK,peak,"a pointed elevation atop a mountain, ridge, or other hypsographic feature",T
PKLT,parking lot,an area used for parking vehicles,S
PKS,peaks,"pointed elevations atop a mountain, ridge, or other hypsographic features",T
PKSU,undersea peaks,"prominent elevations, part of a larger feature, either pointed or of very limited extent across the summit",U
PKU,undersea peak,"a prominent elevation, part of a larger feature, either pointed or of very limited extent across the summit",U
PLAT,plateau,"an elevated plain with steep slopes on one or more sides, and often with incised streams",T
PLATX,section of plateau,,T
PLDR,polder,an area reclaimed from the sea by diking and draining,T
PLFU,undersea platform,a flat or gently sloping underwater surface extending seaward from the shore,U
PLN,plain(s),"an extensive area of comparatively level to gently undulating land, lacking surface irregularities, and usually adjacent to a higher area",T
PLNU,undersea plain,"a flat, gently sloping or nearly level region",U
PLNX,section of plain,,T
PLTU,undersea plateau,"a comparatively flat-topped feature of considerable extent, dropping off abruptly on one or more sides",U
PMPO,oil pumping station,a facility for pumping oil through a pipeline,S
PMPW,water pumping station,a facility for pumping water from a major well or through a pipeline,S
PND,pond,a small standing waterbody,H
PNDI,intermittent pond,,H
PNDN,salt pond,"a small standing body of salt water often in a marsh or swamp, usually along a seacoast",H
PNDNI,intermittent salt pond(s),,H
PNDS,ponds,small standing waterbodies,H
PNDSF,fishponds,ponds or enclosures in which fish are kept or raised,H
PNDSI,intermittent ponds,,H
PNDSN,salt ponds,"small standing bodies of salt water often in a marsh or swamp, usually along a seacoast",H
PNLU,undersea pinnacle,"a high tower or spire-shaped pillar of rock or coral, alone or cresting a summit",U
PO,post office,"a public building in which mail is received, sorted and distributed",S
POOL,pool(s),"a small and comparatively still, deep part of a larger body of water such as a stream or harbor; or a small body of standing water",H
POOLI,intermittent pool,,H
PP,police post,a building in which police are stationed,S
#PPL,populated place,"a city, town, village, or other agglomeration of buildings where people live and work",P
PPL,place,"a city, town, village, or other agglomeration of buildings where people live and work",P
#PPLA,seat of a first-order administrative division,seat of a first-order administrative division (PPLC takes precedence over PPLA),P
PPLA,seat of primary division,seat of a first-order administrative division (PPLC takes precedence over PPLA),P
#PPLA2,seat of a second-order administrative division,,P
PPLA2,seat of secondary division,,P
PPLA3,seat of a third-order administrative division,,P
PPLA4,seat of a fourth-order administrative division,,P
#PPLC,capital of a political entity,,P
PPLC,capital,,P
PPLCH,historical capital of a political entity,a former capital of a political entity,P
PPLF,farm village,a populated place where the population is largely engaged in agricultural activities,P
#PPLG,seat of government of a political entity,,P
PPLG,seat of government,,P
PPLH,historical populated place,a populated place that no longer exists,P
PPLL,populated locality,an area similar to a locality but with a small group of dwellings or other buildings,P
PPLQ,abandoned populated place,,P
PPLR,religious populated place,a populated place whose population is largely engaged in religious occupations,P
PPLS,populated places,"cities, towns, villages, or other agglomerations of buildings where people live and work",P
PPLW,destroyed populated place,"a village, town or city destroyed by a natural disaster, or by war",P
PPLX,section of populated place,,P
PPQ,abandoned police post,,S
PRK,park,"an area, often of forested land, maintained as a place of beauty, or for recreation",L
PRKGT,park gate,a controlled access to a park,S
PRKHQ,park headquarters,a park administrative facility,S
PRMN,promenade,"a place for public walking, usually along a beach front",R
PRN,prison,a facility for confining prisoners,S
PRNJ,reformatory,"a facility for confining, training, and reforming young law offenders",S
PRNQ,abandoned prison,,S
PROM,promontory(-ies),a bluff or prominent hill overlooking or projecting into a lowland,T
PRSH,parish,an ecclesiastical district,A
PRT,port,"a place provided with terminal and transfer facilities for loading and discharging waterborne cargo or passengers, usually located in a harbor",L
PRVU,undersea province,a region identifiable by a group of similar physiographic features whose characteristics are markedly in contrast with surrounding areas,U
PS,power station,a facility for generating electric power,S
PSH,hydroelectric power station,a building where electricity is generated from water power,S
PSN,nuclear power station,,S
PSTB,border post,a post or station at an international boundary for the regulation of movement of people and goods,S
PSTC,customs post,a building at an international boundary where customs and duties are paid on goods,S
PSTP,patrol post,a post from which patrols are sent out,S
PT,point,"a tapering piece of land projecting into a body of water, less prominent than a cape",T
PTGE,portage,"a place where boats, goods, etc., are carried overland between navigable waters",R
PTS,points,"tapering pieces of land projecting into a body of water, less prominent than a cape",T
PYR,pyramid,an ancient massive structure of square ground plan with four triangular faces meeting at a point and used for enclosing tombs,S
PYRS,pyramids,ancient massive structures of square ground plan with four triangular faces meeting at a point and used for enclosing tombs,S
QCKS,quicksand,"an area where loose sand with water moving through it may become unstable when heavy objects are placed at the surface, causing them to sink",L
QUAY,quay,a structure of solid construction along a shore or bank which provides berthing for ships and which generally provides cargo handling facilities,S
RAVU,undersea ravine,a small canyon,U
RCH,reach,a straight section of a navigable stream or channel between two bends,H
RD,road,"an open way with improved surface for transportation of animals, people and vehicles",R
RDA,ancient road,the remains of a road used by ancient cultures,R
RDB,road bend,a conspicuously curved or bent section of a road,R
RDCR,traffic circle,a road junction formed around a central circle about which traffic moves in one direction only,S
RDCUT,road cut,an excavation cut through a hill or ridge for a road,R
RDGB,beach ridge,"a ridge of sand just inland and parallel to the beach, usually in series",T
RDGE,ridge(s),"a long narrow elevation with steep sides, and a more or less continuous crest",T
RDGG,icecap ridge,a linear elevation on an icecap,H
RDGU,undersea ridge,a long narrow elevation with steep sides,U
RDIN,intersection,a junction of two or more highways by a system of separate levels that permit traffic to pass from one to another without the crossing of traffic streams,S
RDJCT,road junction,a place where two or more roads join,R
RDST,roadstead,an open anchorage affording less protection than a harbor,H
RDSU,undersea ridges,long narrow elevations with steep sides,U
RECG,golf course,a recreation field where golf is played,S
RECR,racetrack,a track where races are held,S
REG,stony desert,a desert plain characterized by a surface veneer of gravel and stones,T
REP,republic,,L
RES,reserve,a tract of public land reserved for future use or restricted as to use,L
RESA,agricultural reserve,a tract of land reserved for agricultural reclamation and/or development,L
RESF,forest reserve,a forested area set aside for preservation or controlled use,L
RESH,hunting reserve,a tract of land used primarily for hunting,L
RESN,nature reserve,an area reserved for the maintenance of a natural habitat,L
RESP,palm tree reserve,an area of palm trees where use is controlled,L
REST,restaurant,A place where meals are served to the public,S
RESV,reservation,"a tract of land set aside for aboriginal, tribal, or native populations",L
RESW,wildlife reserve,a tract of public land reserved for the preservation of wildlife,L
RET,store,a building where goods and/or services are offered for sale,S
RF,reef(s),a surface-navigation hazard composed of consolidated material,H
RFC,coral reef(s),a surface-navigation hazard composed of coral,H
RFSU,undersea reefs,surface-navigation hazards composed of consolidated material,U
RFU,undersea reef,a surface-navigation hazard composed of consolidated material,U
RFX,section of reef,,H
RGN,region,an area distinguished by one or more observable physical or cultural characteristics,L
RGNE,economic region,a region of a country established for economic development or for statistical purposes,L
RGNH,historical region,a former area distinguished by one or more observable physical or cultural characteristics,L
RGNL,lake region,a tract of land distinguished by numerous lakes,L
RHSE,resthouse,a structure maintained for the rest and shelter of travelers,S
RISU,undersea rise,"a broad elevation that rises gently, and generally smoothly, from the sea floor",U
RJCT,railroad junction,a place where two or more railroad tracks join,R
RK,rock,"a conspicuous, isolated rocky mass",T
RKFL,rockfall,an irregular mass of fallen rock at the base of a cliff or steep slope,T
RKRY,rookery,a breeding place of a colony of birds or seals,S
RKS,rocks,"conspicuous, isolated rocky masses",T
RLG,religious site,an ancient site of significant religious importance,S
RLGR,retreat,"a place of temporary seclusion, especially for religious groups",S
RMPU,undersea ramp,a gentle slope connecting areas of different elevations,U
RNCH,ranch(es),a large farm specializing in extensive grazing of livestock,S
RNGA,artillery range,a tract of land used for artillery firing practice,L
RNGU,undersea range,a series of associated ridges or seamounts,U
RPDS,rapids,"a turbulent section of a stream associated with a steep, irregular stream bed",H
RR,railroad,a permanent twin steel-rail track on which freight and passenger cars move long distances,R
RRQ,abandoned railroad,,R
RSD,railroad siding,a short track parallel to and joining the main track,S
RSGNL,railroad signal,a signal at the entrance of a particular section of track governing the movement of trains,S
RSRT,resort,"a specialized facility for vacation, health, or participation sports activities",S
RSTN,railroad station,"a facility comprising ticket office, platforms, etc. for loading and unloading train passengers and freight",S
RSTNQ,abandoned railroad station,,S
RSTP,railroad stop,a place lacking station facilities where trains stop to pick up and unload passengers and freight,S
RSTPQ,abandoned railroad stop,,S
RSV,reservoir(s),an artificial pond or lake,H
RSVI,intermittent reservoir,,H
RSVT,water tank,"a contained pool or tank of water at, below, or above ground level",H
RTE,caravan route,the route taken by caravans,R
RUIN,ruin(s),a destroyed or decayed structure which is no longer functional,S
RVN,ravine(s),"a small, narrow, deep, steep-sided stream channel, smaller than a gorge",H
RYD,railroad yard,"a system of tracks used for the making up of trains, and switching and storing freight cars",R
SALT,salt area,a shallow basin or flat where salt accumulates after periodic inundation,L
SAND,sand area,a tract of land covered with sand,T
SBED,dry stream bed,a channel formerly containing the water of a stream,T
SBKH,sabkha(s),a salt flat or salt encrusted plain subject to periodic inundation from flooding or high tides,H
SCH,school,building(s) where instruction in one or more branches of knowledge takes place,S
SCHA,agricultural school,a school with a curriculum focused on agriculture,S
SCHC,college,the grounds and buildings of an institution of higher learning,S
SCHL,language school,Language Schools & Institutions,S
SCHM,military school,a school at which military science forms the core of the curriculum,S
SCHN,maritime school,a school at which maritime sciences form the core of the curriculum,S
SCHT,technical school,post-secondary school with a specifically technical or vocational curriculum,S
SCNU,seachannel,"a continuously sloping, elongated depression commonly found in fans or plains and customarily bordered by levees on one or two sides",U
SCRB,scrubland,"an area of low trees, bushes, and shrubs stunted by some environmental limitation",V
SCRP,escarpment,a long line of cliffs or steep slopes separating level surfaces above and below,T
SCSU,seachannels,"continuously sloping, elongated depressions commonly found in fans or plains and customarily bordered by levees on one or two sides",U
SD,sound,a long arm of the sea forming a channel between the mainland and an island or islands; or connecting two larger bodies of water,H
SDL,saddle,"a broad, open pass crossing a ridge or between hills or mountains",T
SDLU,undersea saddle,"a low part, resembling in shape a saddle, in a ridge or between contiguous seamounts",U
SEA,sea,a large body of salt water more or less confined by continuous land or chains of islands forming a subdivision of an ocean,H
SECP,State Exam Prep Centre,state exam preparation centres,S
SHFU,undersea shelf,a zone adjacent to a continent (or around an island) that extends from the low water line to a depth at which there is usually a marked increase of slope towards oceanic depths,U
SHLU,undersea shoal,a surface-navigation hazard composed of unconsolidated material,U
SHOL,shoal(s),a surface-navigation hazard composed of unconsolidated material,H
SHOPC,shopping center or mall,an urban shopping area featuring a variety of shops surrounding a usually open-air concourse reserved for pedestrian traffic; or a large suburban building or group of buildings containing various shops with associated passageways,S
SHOR,shore,"a narrow zone bordering a waterbody which covers and uncovers at high and low water, respectively",T
SHPF,sheepfold,a fence or wall enclosure for sheep and other small herd animals,S
SHRN,shrine,a structure or place memorializing a person or religious concept,S
SHSE,storehouse,"a building for storing goods, especially provisions",S
SHSU,undersea shoals,hazards to surface navigation composed of unconsolidated material,U
SHVU,undersea shelf valley,"a valley on the shelf, generally the shoreward extension of a canyon",U
SILL,sill,"the low part of an underwater gap or saddle separating basins, including a similar feature at the mouth of a fjord",H
SILU,undersea sill,the low part of a gap or saddle separating basins,U
SINK,sinkhole,a small crater-shape depression in a karst area,T
SLCE,sluice,"a conduit or passage for carrying off surplus water from a waterbody, usually regulated by means of a sluice gate",S
SLID,slide,"a mound of earth material, at the base of a slope and the associated scoured area",T
SLP,slope(s),a surface with a relatively uniform slope angle,T
SLPU,undersea slope,the slope seaward from the shelf edge to the beginning of a continental rise or the point where there is a general reduction in slope,U
SMSU,seamounts,"elevations rising generally more than 1,000 meters and of limited extent across the summit",U
SMU,seamount,"an elevation rising generally more than 1,000 meters and of limited extent across the summit",U
SNOW,snowfield,an area of permanent snow and ice forming the accumulation area of a glacier,L
SNTR,sanatorium,a facility where victims of physical or mental disorders are treated,S
SPA,spa,a resort area usually developed around a medicinal spring,S
SPIT,spit,"a narrow, straight or curved continuation of a beach into a waterbody",T
SPLY,spillway,"a passage or outlet through which surplus water flows over, around or through a dam",S
SPNG,spring(s),a place where ground water flows naturally out of the ground,H
SPNS,sulphur spring(s),a place where sulphur ground water flows naturally out of the ground,H
SPNT,hot spring(s),a place where hot ground water flows naturally out of the ground,H
SPRU,undersea spur,"a subordinate elevation, ridge, or rise projecting outward from a larger feature",U
SPUR,spur(s),"a subordinate ridge projecting outward from a hill, mountain or other elevation",T
SQR,square,"a broad, open, public area near the center of a town or city",S
ST,street,a paved urban thoroughfare,R
STBL,stable,"a building for the shelter and feeding of farm animals, especially horses",S
STDM,stadium,a structure with an enclosure for athletic games with tiers of seats for spectators,S
STKR,stock route,a route taken by livestock herds,R
STLMT,Israeli settlement,,P
STM,stream,a body of running water moving to a lower level in a channel on land,H
STMA,anabranch,a diverging branch flowing out of a main stream and rejoining it downstream,H
STMB,stream bend,a conspicuously curved or bent segment of a stream,H
STMC,canalized stream,"a stream that has been substantially ditched, diked, or straightened",H
STMD,distributary(-ies),"a branch which flows away from the main stream, as in a delta or irrigation canal",H
STMGS,stream gauging station,"named place where a measuring station for a watercourse, reservoir or other water body exists",S
STMH,headwaters,"the source and upper part of a stream, including the upper drainage basin",H
STMI,intermittent stream,,H
STMIX,section of intermittent stream,,H
STMM,stream mouth(s),"a place where a stream discharges into a lagoon, lake, or the sea",H
STMQ,abandoned watercourse,"a former stream or distributary no longer carrying flowing water, but still evident due to lakes, wetland, topographic or vegetation patterns",H
STMS,streams,bodies of running water moving to a lower level in a channel on land,H
STMSB,lost river,"a surface stream that disappears into an underground channel, or dries up in an arid area",H
STMX,section of stream,,H
STNB,scientific research base,a scientific facility used as a base from which research is carried out or monitored,S
STNC,coast guard station,a facility from which the coast is guarded by armed vessels,S
STNE,experiment station,a facility for carrying out experiments,S
STNF,forest station,a collection of buildings and facilities for carrying out forest management,S
STNI,inspection station,"a station at which vehicles, goods, and people are inspected",S
STNM,meteorological station,a station at which weather elements are recorded,S
STNR,radio station,a facility for producing and transmitting information by radio waves,S
STNS,satellite station,a facility for tracking and communicating with orbiting satellites,S
STNW,whaling station,a facility for butchering whales and processing train oil,S
STPS,steps,stones or slabs placed for ease in ascending or descending a steep slope,S
STRT,strait,"a relatively narrow waterway, usually narrower and less extensive than a sound, connecting two larger bodies of water",H
SUBS,subway station,"a facility comprising ticket office, platforms, etc. for loading and unloading subway passengers",S
SUBW,subway,"a railroad used for mass public transportation primarily in urban areas, all or part of the system may be located below, above, or at ground level",S
SWMP,swamp,a wetland dominated by tree vegetation,H
SWT,sewage treatment plant,facility for the processing of sewage and/or wastewater,S
SYSI,irrigation system,"a network of ditches and one or more of the following elements: water supply, reservoir, canal, pump, well, drain, etc.",H
TAL,talus slope,a steep concave slope formed by an accumulation of loose rock fragments at the base of a cliff or steep slope,T
TERR,territory,,A
TERU,undersea terrace,"a relatively flat horizontal or gently inclined surface, sometimes long and narrow, which is bounded by a steeper ascending slope on one side and by a steep descending slope on the opposite side",U
THTR,theater,"A building, room, or outdoor structure for the presentation of plays, films, or other dramatic performances",S
TMB,tomb(s),a structure for interring bodies,S
TMPL,temple(s),an edifice dedicated to religious worship,S
TMSU,tablemounts (or guyots),"seamounts having a comparatively smooth, flat top",U
TMTU,tablemount (or guyot),"a seamount having a comparatively smooth, flat top",U
TNGU,undersea tongue,an elongate (tongue-like) extension of a flat sea floor into an adjacent higher feature,U
TNKD,cattle dipping tank,a small artificial pond used for immersing cattle in chemically treated water for disease control,S
TNL,tunnel,a subterranean passageway for transportation,R
TNLC,canal tunnel,a tunnel through which a canal passes,H
TNLN,natural tunnel,a cave that is open at both ends,R
TNLRD,road tunnel,a tunnel through which a road passes,R
TNLRR,railroad tunnel,a tunnel through which a railroad passes,R
TNLS,tunnels,subterranean passageways for transportation,R
TOLL,toll gate/barrier,highway toll collection station,S
TOWR,tower,"a high conspicuous structure, typically much higher than its diameter",S
TRANT,transit terminal,facilities for the handling of vehicular freight and passengers,S
TRB,tribal area,a tract of land used by nomadic or other tribes,L
TREE,tree(s),a conspicuous tree used as a landmark,V
TRGD,interdune trough(s),a long wind-swept trough between parallel longitudinal dunes,T
TRGU,undersea trough,"a long depression of the sea floor characteristically flat bottomed and steep sided, and normally shallower than a trench",U
TRIG,triangulation station,a point on the earth whose position has been determined by triangulation,S
TRL,trail,"a path, track, or route used by pedestrians, animals, or off-road vehicles",R
TRMO,oil pipeline terminal,a tank farm or loading facility at the end of an oil pipeline,S
TRNU,undersea trench,"a long, narrow, characteristically very deep and asymmetrical depression of the sea floor, with relatively steep sides",U
TRR,terrace,"a long, narrow alluvial platform bounded by steeper slopes above and below, usually overlooking a waterbody",T
TUND,tundra,"a marshy, treeless, high latitude plain, dominated by mosses, lichens, and low shrub vegetation under permafrost conditions",V
TWO,temp work office,Temporary Work Offices,S
UFHU,historical undersea feature,an undersea feature whose existence has been subsequently disproved,U
UNIP,university prep school,University Preparation Schools & Institutions,S
UNIV,university,An institution for higher learning with teaching and research facilities constituting a graduate school and professional schools that award master's degrees and doctorates and an undergraduate division that awards bachelor's degrees.,S
UPLD,upland,an extensive interior region of high land with low to moderate surface relief,T
USGE,United States Government Establishment,a facility operated by the United States Government in Panama,S
VAL,valley,an elongated depression usually traversed by a stream,T
VALG,hanging valley,a valley the floor of which is notably higher than the valley or shore to which it leads; most common in areas that have been glaciated,T
VALS,valleys,elongated depressions usually traversed by a stream,T
VALU,undersea valley,"a relatively shallow, wide depression, the bottom of which usually has a continuous gradient",U
VALX,section of valley,,T
VETF,veterinary facility,a building or camp at which veterinary services are available,S
VIN,vineyard,a planting of grapevines,V
VINS,vineyards,plantings of grapevines,V
VLC,volcano,a conical elevation composed of volcanic materials with a crater at the top,T
VLSU,undersea valleys,"a relatively shallow, wide depression, the bottom of which usually has a continuous gradient",U
WAD,wadi,"a valley or ravine, bounded by relatively steep banks, which in the rainy season becomes a watercourse; found primarily in North Africa and the Middle East",H
WADB,wadi bend,a conspicuously curved or bent segment of a wadi,H
WADJ,wadi junction,a place where two or more wadies join,H
WADM,wadi mouth,"the lower terminus of a wadi where it widens into an adjoining floodplain, depression, or waterbody",H
WADS,wadies,"valleys or ravines, bounded by relatively steep banks, which in the rainy season become watercourses; found primarily in North Africa and the Middle East",H
WADX,section of wadi,,H
WALL,wall,"a thick masonry structure, usually enclosing a field or building, or forming the side of a structure",S
WALLA,ancient wall,the remains of a linear defensive stone structure,S
WEIR,weir(s),"a small dam in a stream, designed to raise the water level or to divert stream flow through a desired channel",S
WHRF,wharf(-ves),a structure of open rather than solid construction along a shore or a bank which provides berthing for ships and cargo-handling facilities,S
WHRL,whirlpool,"a turbulent, rotating movement of water in a stream",H
WLL,well,"a cylindrical hole, pit, or tunnel drilled or dug down to a depth from which water, oil, or gas can be pumped or brought to the surface",H
WLLQ,abandoned well,,H
WLLS,wells,"cylindrical holes, pits, or tunnels drilled or dug down to a depth from which water, oil, or gas can be pumped or brought to the surface",H
WRCK,wreck,the site of the remains of a wrecked vessel,S
WTLD,wetland,"an area subject to inundation, usually characterized by bog, marsh, or swamp vegetation",H
WTLDI,intermittent wetland,,H
WTRC,watercourse,"a natural, well-defined channel produced by flowing water, or an artificial channel designed to carry flowing water",H
WTRH,waterhole(s),"a natural hole, hollow, or small depression that contains water, used by man and animals, especially in arid areas",H
WTRW,waterworks,a facility for supplying potable water through a water source and a system of pumps and filtration beds,S
ZN,zone,,A
ZNB,buffer zone,a zone recognized as a buffer between two nations in which military presence is minimal or absent,A
ZNF,free trade zone,"an area, usually a section of a port, where goods may be received and shipped free of customs duty and of most customs regulations",S
ZOO,zoo,a zoological garden or park where wild animals are kept for exhibition,S
